Name,Type,Type_2,Total,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Generation,Legendary
Blaziken,Fire,Fighting,530,80,120,70,110,70,80,3,FALSE
Mudkip,Water,NA,310,50,70,50,50,50,40,3,FALSE
Marshtomp,Water,Ground,405,70,85,70,60,70,50,3,FALSE
Swampert,Water,Ground,535,100,110,90,85,90,60,3,FALSE
Lotad,Water,Grass,220,40,30,30,40,50,30,3,FALSE
Lombre,Water,Grass,340,60,50,50,60,70,50,3,FALSE
Ludicolo,Water,Grass,480,80,70,70,90,100,70,3,FALSE
Seedot,Grass,NA,220,40,40,50,30,30,30,3,FALSE
Nuzleaf,Grass,Dark,340,70,70,40,60,40,60,3,FALSE
Shiftry,Grass,Dark,480,90,100,60,90,60,80,3,FALSE
Wingull,Water,Flying,270,40,30,30,55,30,85,3,FALSE
Pelipper,Water,Flying,430,60,50,100,85,70,65,3,FALSE
Shroomish,Grass,NA,295,60,40,60,40,60,35,3,FALSE
Breloom,Grass,Fighting,460,60,130,80,60,60,70,3,FALSE
Roselia,Grass,Poison,400,50,60,45,100,80,65,3,FALSE
Carvanha,Water,Dark,305,45,90,20,65,20,65,3,FALSE
Sharpedo,Water,Dark,460,70,120,40,95,40,95,3,FALSE
Wailmer,Water,NA,400,130,70,35,70,35,60,3,FALSE
Wailord,Water,NA,500,170,90,45,90,45,60,3,FALSE
Numel,Fire,Ground,305,60,60,40,65,45,35,3,FALSE
Camerupt,Fire,Ground,460,70,100,70,105,75,40,3,FALSE
Torkoal,Fire,NA,470,70,85,140,85,70,20,3,FALSE
Cacnea,Grass,NA,335,50,85,40,85,40,35,3,FALSE
Cacturne,Grass,Dark,475,70,115,60,115,60,55,3,FALSE
Barboach,Water,Ground,288,50,48,43,46,41,60,3,FALSE
Whiscash,Water,Ground,468,110,78,73,76,71,60,3,FALSE
Corphish,Water,NA,308,43,80,65,50,35,35,3,FALSE
Crawdaunt,Water,Dark,468,63,120,85,90,55,55,3,FALSE
Feebas,Water,NA,200,20,15,20,10,55,80,3,FALSE
Milotic,Water,NA,540,95,60,79,100,125,81,3,FALSE
Tropius,Grass,Flying,460,99,68,83,72,87,51,3,FALSE
Clamperl,Water,NA,345,35,64,85,74,55,32,3,FALSE
Huntail,Water,NA,485,55,104,105,94,75,52,3,FALSE
Gorebyss,Water,NA,485,55,84,105,114,75,52,3,FALSE
Relicanth,Water,Rock,485,100,90,130,45,65,55,3,FALSE
Luvdisc,Water,NA,330,43,30,55,40,65,97,3,FALSE
Kyogre,Water,NA,670,100,100,90,150,140,90,3,TRUE
Turtwig,Grass,NA,318,55,68,64,45,55,31,4,FALSE
Grotle,Grass,NA,405,75,89,85,55,65,36,4,FALSE
Torterra,Grass,Ground,525,95,109,105,75,85,56,4,FALSE
Chimchar,Fire,NA,309,44,58,44,58,44,61,4,FALSE
Monferno,Fire,Fighting,405,64,78,52,78,52,81,4,FALSE
Infernape,Fire,Fighting,534,76,104,71,104,71,108,4,FALSE
Piplup,Water,NA,314,53,51,53,61,56,40,4,FALSE
Prinplup,Water,NA,405,64,66,68,81,76,50,4,FALSE
Empoleon,Water,Steel,530,84,86,88,111,101,60,4,FALSE
Budew,Grass,Poison,280,40,30,35,50,70,55,4,FALSE
Roserade,Grass,Poison,515,60,70,65,125,105,90,4,FALSE
Buizel,Water,NA,330,55,65,35,60,30,85,4,FALSE
Floatzel,Water,NA,495,85,105,55,85,50,115,4,FALSE
Cherubi,Grass,NA,275,45,35,45,62,53,35,4,FALSE
Cherrim,Grass,NA,450,70,60,70,87,78,85,4,FALSE
Shellos,Water,NA,325,76,48,48,57,62,34,4,FALSE
Gastrodon,Water,Ground,475,111,83,68,92,82,39,4,FALSE
Carnivine,Grass,NA,454,74,100,72,90,72,46,4,FALSE
Finneon,Water,NA,330,49,49,56,49,61,66,4,FALSE
Lumineon,Water,NA,460,69,69,76,69,86,91,4,FALSE
Mantyke,Water,Flying,345,45,20,50,60,120,50,4,FALSE
Snover,Grass,Ice,334,60,62,50,62,60,40,4,FALSE
Abomasnow,Grass,Ice,494,90,92,75,92,85,60,4,FALSE
Tangrowth,Grass,NA,535,100,100,125,110,50,50,4,FALSE
Magmortar,Fire,NA,540,75,95,67,125,95,83,4,FALSE
Leafeon,Grass,NA,525,65,110,130,60,65,95,4,FALSE
Palkia,Water,Dragon,680,90,120,100,150,120,100,4,TRUE
Heatran,Fire,Steel,600,91,90,106,130,106,77,4,TRUE
Phione,Water,NA,480,80,80,80,80,80,80,4,FALSE
Manaphy,Water,NA,600,100,100,100,100,100,100,4,FALSE
Snivy,Grass,NA,308,45,45,55,45,55,63,5,FALSE
Servine,Grass,NA,413,60,60,75,60,75,83,5,FALSE
Serperior,Grass,NA,528,75,75,95,75,95,113,5,FALSE
Tepig,Fire,NA,308,65,63,45,45,45,45,5,FALSE
Pignite,Fire,Fighting,418,90,93,55,70,55,55,5,FALSE
Emboar,Fire,Fighting,528,110,123,65,100,65,65,5,FALSE
Oshawott,Water,NA,308,55,55,45,63,45,45,5,FALSE
Dewott,Water,NA,413,75,75,60,83,60,60,5,FALSE
Samurott,Water,NA,528,95,100,85,108,70,70,5,FALSE
Pansage,Grass,NA,316,50,53,48,53,48,64,5,FALSE
Simisage,Grass,NA,498,75,98,63,98,63,101,5,FALSE
Pansear,Fire,NA,316,50,53,48,53,48,64,5,FALSE
Simisear,Fire,NA,498,75,98,63,98,63,101,5,FALSE
Panpour,Water,NA,316,50,53,48,53,48,64,5,FALSE
Simipour,Water,NA,498,75,98,63,98,63,101,5,FALSE
Tympole,Water,NA,294,50,50,40,50,40,64,5,FALSE
Palpitoad,Water,Ground,384,75,65,55,65,55,69,5,FALSE
Seismitoad,Water,Ground,509,105,95,75,85,75,74,5,FALSE
Cottonee,Grass,Fairy,280,40,27,60,37,50,66,5,FALSE
Whimsicott,Grass,Fairy,480,60,67,85,77,75,116,5,FALSE
Petilil,Grass,NA,280,45,35,50,70,50,30,5,FALSE
Lilligant,Grass,NA,480,70,60,75,110,75,90,5,FALSE
Basculin,Water,NA,460,70,92,65,80,55,98,5,FALSE
Darumaka,Fire,NA,315,70,90,45,15,45,50,5,FALSE
Maractus,Grass,NA,461,75,86,67,106,67,60,5,FALSE
Tirtouga,Water,Rock,355,54,78,103,53,45,22,5,FALSE
Carracosta,Water,Rock,495,74,108,133,83,65,32,5,FALSE
Ducklett,Water,Flying,305,62,44,50,44,50,55,5,FALSE
Swanna,Water,Flying,473,75,87,63,87,63,98,5,FALSE
Foongus,Grass,Poison,294,69,55,45,55,55,15,5,FALSE
Amoonguss,Grass,Poison,464,114,85,70,85,80,30,5,FALSE
Frillish,Water,Ghost,335,55,40,50,65,85,40,5,FALSE
Jellicent,Water,Ghost,480,100,60,70,85,105,60,5,FALSE
Alomomola,Water,NA,470,165,75,80,40,45,65,5,FALSE
Ferroseed,Grass,Steel,305,44,50,91,24,86,10,5,FALSE
Ferrothorn,Grass,Steel,489,74,94,131,54,116,20,5,FALSE
Heatmor,Fire,NA,484,85,97,66,105,66,65,5,FALSE
Virizion,Grass,Fighting,580,91,90,72,90,129,108,5,TRUE
Chespin,Grass,NA,313,56,61,65,48,45,38,6,FALSE
Quilladin,Grass,NA,405,61,78,95,56,58,57,6,FALSE
Chesnaught,Grass,Fighting,530,88,107,122,74,75,64,6,FALSE
Fennekin,Fire,NA,307,40,45,40,62,60,60,6,FALSE
Braixen,Fire,NA,409,59,59,58,90,70,73,6,FALSE
Delphox,Fire,Psychic,534,75,69,72,114,100,104,6,FALSE
Froakie,Water,NA,314,41,56,40,62,44,71,6,FALSE
Frogadier,Water,NA,405,54,63,52,83,56,97,6,FALSE
Greninja,Water,Dark,530,72,95,67,103,71,122,6,FALSE
Fletchinder,Fire,Flying,382,62,73,55,56,52,84,6,FALSE
Talonflame,Fire,Flying,499,78,81,71,74,69,126,6,FALSE
Litleo,Fire,Normal,369,62,50,58,73,54,72,6,FALSE
Pyroar,Fire,Normal,507,86,68,72,109,66,106,6,FALSE
Skiddo,Grass,NA,350,66,65,48,62,57,52,6,FALSE
Gogoat,Grass,NA,531,123,100,62,97,81,68,6,FALSE
Clauncher,Water,NA,330,50,53,62,58,63,44,6,FALSE
Clawitzer,Water,NA,500,71,73,88,120,89,59,6,FALSE
Volcanion,Fire,Water,600,80,110,120,130,90,70,6,TRUE
